"var","var_label"
"id_w","НОМЕР ВОЛНЫ"
"idind","Единый идентификационный номер индивида для волн 5 и последующих"
"year","ГОД ПРОВЕДЕНИЯ ИССЛЕДОВАНИЯ"
"redid_i","НОМЕР ИНДИВИДА - СПЛОШНАЯ НУМЕРАЦИЯ"
"id_i","НОМЕР ИНДИВИДА - ИДЕНТИФИКАЦИОННЫЙ - УНИКАЛЬНЫЙ ВНУТРИ ВОЛНЫ"
"id_h","НОМЕР ДОМОХОЗЯЙСТВА - ИДЕНТИФИКАЦИОННЫЙ - УНИКАЛЬНЫЙ ВНУТРИ ВОЛНЫ"
"origsm","АДРЕС РЕПРЕЗЕНТАТИВНОЙ ВЫБОРКИ"
"inwgt","Пост-стратификационный вес индивида по Росстату на 01.01 ближайшего"
"region","Регион"
"psu","ПЕРВИЧНАЯ ЕДИНИЦА ОТБОРА"
"status","ТИП НАСЕЛЕННОГО ПУНКТА"
"popul","ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ"
"int_y","ГОД ПРОВЕДЕНИЯ ИНТЕРВЬЮ"
"adult","Есть взрослый вопросник?"
"child","Есть детский вопросник?"
"marst","СЕМЕЙНОЕ ПОЛОЖЕНИЕ В ТЕКУЩЕЙ ВОЛНЕ"
"occup08","ПРОФЕССИОНАЛЬНАЯ ГРУППА - по коду J2COD08"
"educ","ОБРАЗОВАНИЕ (ПОДРОБНО): старше 14 лет"
"diplom","ЗАКОНЧЕННОЕ ОБРАЗОВАНИЕ (ГРУППА)"
"diplom_1","НАИБОЛЕЕ ВЕРОЯТНОЕ ЗАКОНЧЕННОЕ ОБРАЗОВАНИЕ (ГРУППА)"
"site","НОМЕР НАСЕЛЕННОГО ПУНКТА"
"h3","Номер семьи"
"h4","Номер члена семьи"
"h4_1","Респондент ранее участвовал(а) в исследовании?"
"h4_1_y","Год, в котором респондент последний раз участвовал в исследовании"
"h5","Пол респондента"
"h6","Год рождения респондента (=J69.9C)"
"h7_1","Дата проведения интервью: число"
"h7_2","Дата проведения интервью: месяц"
"h7_1_l","Дата проведения интервью по вопроснику ""Медицина"": число"
