variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value
(Intercept),3.914,0.179,3.555,4.274,0,4.371,0.084,4.202,4.539,0,4.647,0.072,4.502,4.793,0,4.744,0.089,4.564,4.923,0,5.058,0.093,4.872,5.245,0
exp_imp,0.089,0.02,0.048,0.129,0,0.087,0.013,0.062,0.113,0,0.065,0.011,0.042,0.088,0,0.081,0.012,0.057,0.105,0,0.024,0.012,-0,0.049,0.052
I(exp_imp^2),-0.005,0.002,-0.008,-0.002,0.002,-0.006,0.001,-0.008,-0.003,0,-0.004,0.001,-0.006,-0.002,0,-0.004,0.001,-0.006,-0.003,0,-0,0.001,-0.002,0.002,0.92
areaUrban-Type Settlement,0.088,0.096,-0.104,0.279,0.364,0.005,0.062,-0.12,0.13,0.939,0.041,0.068,-0.095,0.178,0.546,0.122,0.082,-0.043,0.287,0.143,0.144,0.074,-0.005,0.293,0.058
areaCity,0.257,0.093,0.07,0.445,0.008,0.05,0.071,-0.093,0.193,0.487,0.135,0.061,0.012,0.258,0.032,0.236,0.056,0.123,0.348,0,0.289,0.064,0.16,0.418,0
areaRegional Center,0.258,0.245,-0.235,0.752,0.298,0.068,0.22,-0.373,0.51,0.757,0.19,0.216,-0.243,0.623,0.383,0.26,0.219,-0.18,0.7,0.24,0.303,0.222,-0.143,0.749,0.178
sexMale,0.461,0.066,0.329,0.593,0,0.288,0.031,0.226,0.35,0,0.242,0.032,0.177,0.306,0,0.291,0.031,0.228,0.353,0,0.257,0.036,0.186,0.328,0
marital_status2. Married/Civil partnership,-0.062,0.053,-0.169,0.045,0.248,-0.051,0.035,-0.121,0.018,0.144,-0.004,0.027,-0.059,0.051,0.882,-0.001,0.03,-0.062,0.059,0.963,0.011,0.036,-0.062,0.084,0.758
marital_status3. Divorced/Separated/Widowed,-0.055,0.089,-0.233,0.124,0.542,-0.022,0.073,-0.168,0.124,0.767,0.023,0.055,-0.088,0.134,0.679,0.025,0.065,-0.106,0.156,0.705,0.077,0.064,-0.051,0.205,0.234
O,0.057,0.028,0.002,0.113,0.043,0.059,0.017,0.025,0.092,0.001,0.055,0.014,0.026,0.083,0,0.073,0.014,0.045,0.102,0,0.076,0.018,0.04,0.112,0
C,0.018,0.026,-0.033,0.07,0.478,0.016,0.015,-0.015,0.046,0.31,0.01,0.012,-0.014,0.035,0.405,-0.012,0.013,-0.038,0.014,0.361,-0.021,0.02,-0.061,0.019,0.294
E,0.006,0.023,-0.039,0.052,0.784,0.001,0.014,-0.027,0.029,0.938,0.01,0.012,-0.015,0.034,0.435,0.016,0.013,-0.01,0.041,0.216,0.007,0.015,-0.022,0.037,0.616
A,0.036,0.023,-0.009,0.081,0.118,0.009,0.016,-0.023,0.042,0.561,0.012,0.015,-0.017,0.041,0.421,0.002,0.017,-0.032,0.035,0.927,0.005,0.018,-0.031,0.041,0.786
ES,0.028,0.025,-0.023,0.079,0.275,0.02,0.014,-0.009,0.049,0.175,0.009,0.013,-0.017,0.034,0.509,-0.005,0.014,-0.033,0.022,0.697,-0.021,0.014,-0.05,0.008,0.15
