variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value
(Intercept),4.177,0.095,3.985,4.369,0,4.42,0.074,4.271,4.569,0,4.676,0.074,4.526,4.825,0,4.821,0.068,4.685,4.957,0,5.196,0.099,4.996,5.396,0
exp_imp,0.041,0.027,-0.014,0.095,0.142,0.081,0.014,0.052,0.109,0,0.072,0.011,0.05,0.093,0,0.084,0.015,0.054,0.114,0,0.04,0.022,-0.004,0.083,0.074
I(exp_imp^2),-0.002,0.002,-0.006,0.003,0.433,-0.004,0.001,-0.007,-0.002,0.001,-0.004,0.001,-0.006,-0.002,0,-0.005,0.001,-0.007,-0.003,0,-0.002,0.002,-0.005,0.002,0.342
areaUrban-Type Settlement,0.017,0.104,-0.191,0.225,0.872,-0.052,0.07,-0.193,0.089,0.462,-0.026,0.06,-0.147,0.095,0.667,-0.064,0.074,-0.213,0.085,0.391,0.006,0.072,-0.139,0.152,0.93
areaCity,0.078,0.131,-0.185,0.341,0.554,0.099,0.071,-0.044,0.242,0.172,0.167,0.065,0.036,0.299,0.014,0.226,0.063,0.099,0.354,0.001,0.241,0.071,0.098,0.384,0.001
areaRegional Center,0.15,0.263,-0.379,0.68,0.571,0.132,0.201,-0.271,0.535,0.513,0.249,0.222,-0.197,0.694,0.267,0.261,0.22,-0.182,0.703,0.242,0.112,0.17,-0.23,0.454,0.513
sexMale,0.382,0.047,0.288,0.476,0,0.272,0.029,0.214,0.33,0,0.241,0.023,0.196,0.286,0,0.256,0.032,0.192,0.32,0,0.235,0.033,0.168,0.303,0
marital_status2. Married/Civil partnership,-0.045,0.042,-0.13,0.04,0.295,-0.035,0.031,-0.096,0.027,0.262,0.02,0.024,-0.028,0.067,0.408,0.011,0.029,-0.047,0.069,0.707,-0.004,0.037,-0.078,0.07,0.912
marital_status3. Divorced/Separated/Widowed,-0.023,0.102,-0.228,0.181,0.821,-0.042,0.076,-0.195,0.112,0.587,-0.002,0.051,-0.104,0.1,0.963,0.051,0.069,-0.089,0.19,0.468,0.039,0.095,-0.151,0.23,0.679
O,0.065,0.026,0.013,0.117,0.015,0.055,0.017,0.02,0.089,0.003,0.055,0.013,0.029,0.08,0,0.061,0.016,0.03,0.093,0,0.071,0.021,0.028,0.113,0.002
C,0.025,0.024,-0.024,0.074,0.305,0.001,0.017,-0.033,0.035,0.954,0.001,0.014,-0.027,0.029,0.945,-0.023,0.012,-0.048,0.002,0.07,-0.004,0.021,-0.045,0.038,0.861
E,-0.003,0.021,-0.044,0.039,0.898,0.018,0.015,-0.011,0.047,0.223,0.02,0.013,-0.006,0.046,0.131,0.028,0.012,0.005,0.052,0.021,0.025,0.014,-0.002,0.053,0.069
A,0.02,0.022,-0.024,0.064,0.372,0.011,0.016,-0.02,0.043,0.475,0.013,0.012,-0.011,0.036,0.278,0.008,0.018,-0.028,0.043,0.657,0.015,0.02,-0.025,0.055,0.443
ES,0.021,0.028,-0.034,0.077,0.444,0.026,0.015,-0.003,0.055,0.082,0.011,0.011,-0.011,0.034,0.303,-0.004,0.014,-0.032,0.023,0.754,-0.02,0.016,-0.051,0.011,0.207
