variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value
(Intercept),3.813,0.151,3.509,4.116,0,4.278,0.098,4.082,4.475,0,4.489,0.077,4.334,4.643,0,4.632,0.088,4.455,4.808,0,4.781,0.077,4.625,4.936,0
edu_lvl2. Secondary School,0.237,0.064,0.109,0.366,0.001,0.041,0.049,-0.057,0.139,0.409,0.075,0.045,-0.016,0.167,0.104,0.195,0.044,0.107,0.283,0,0.198,0.051,0.096,0.3,0
edu_lvl3. Secondary Vocational,0.252,0.062,0.127,0.378,0,0.122,0.043,0.035,0.21,0.007,0.159,0.041,0.077,0.241,0,0.251,0.041,0.168,0.333,0,0.282,0.055,0.171,0.392,0
edu_lvl4. Tertiary,0.377,0.059,0.258,0.496,0,0.266,0.044,0.178,0.354,0,0.326,0.036,0.253,0.399,0,0.415,0.039,0.335,0.494,0,0.415,0.056,0.302,0.528,0
exp_imp,0.055,0.02,0.015,0.096,0.009,0.085,0.021,0.044,0.127,0,0.058,0.01,0.039,0.077,0,0.056,0.011,0.035,0.078,0,0.027,0.012,0.003,0.051,0.029
I(exp_imp^2),-0.002,0.002,-0.006,0.001,0.157,-0.006,0.002,-0.009,-0.002,0.002,-0.003,0.001,-0.005,-0.001,0.001,-0.003,0.001,-0.005,-0.001,0.004,-0,0.001,-0.002,0.002,0.974
sexMale,0.437,0.05,0.336,0.537,0,0.313,0.026,0.261,0.365,0,0.295,0.021,0.253,0.337,0,0.298,0.025,0.248,0.349,0,0.316,0.043,0.229,0.403,0
areaUrban-Type Settlement,0.126,0.073,-0.021,0.273,0.09,-0.005,0.07,-0.144,0.135,0.946,0.022,0.062,-0.102,0.146,0.72,0.065,0.075,-0.086,0.217,0.389,0.034,0.076,-0.119,0.188,0.656
areaCity,0.178,0.081,0.016,0.34,0.032,0.038,0.065,-0.091,0.168,0.554,0.1,0.06,-0.02,0.219,0.101,0.18,0.06,0.058,0.301,0.005,0.186,0.061,0.064,0.308,0.004
areaRegional Center,0.216,0.223,-0.233,0.665,0.339,0.095,0.208,-0.323,0.513,0.649,0.161,0.21,-0.261,0.584,0.447,0.184,0.211,-0.24,0.609,0.387,0.183,0.219,-0.257,0.623,0.408
marital_status2. Married/Civil partnership,-0.06,0.04,-0.14,0.021,0.145,-0.057,0.03,-0.118,0.004,0.067,0.007,0.019,-0.032,0.046,0.727,0.005,0.027,-0.049,0.059,0.844,0.029,0.026,-0.023,0.081,0.268
marital_status3. Divorced/Separated/Widowed,-0.005,0.107,-0.22,0.209,0.959,0.012,0.069,-0.127,0.15,0.865,0.059,0.054,-0.049,0.168,0.275,0.043,0.063,-0.083,0.169,0.494,0.059,0.069,-0.079,0.198,0.394
O,0.032,0.027,-0.021,0.085,0.234,0.027,0.016,-0.004,0.059,0.088,0.031,0.015,0.001,0.061,0.044,0.048,0.018,0.011,0.085,0.012,0.047,0.024,-0.002,0.095,0.061
C,0.037,0.023,-0.008,0.082,0.107,0.018,0.017,-0.016,0.051,0.299,0.006,0.011,-0.017,0.029,0.597,-0.018,0.013,-0.045,0.009,0.189,-0.003,0.016,-0.036,0.03,0.843
E,0.01,0.022,-0.034,0.054,0.636,0.005,0.013,-0.022,0.032,0.727,0.017,0.011,-0.004,0.039,0.111,0.019,0.012,-0.005,0.042,0.114,-0.005,0.016,-0.037,0.027,0.751
A,0.025,0.027,-0.03,0.08,0.366,0.012,0.015,-0.019,0.043,0.434,0.006,0.013,-0.021,0.032,0.675,0.007,0.016,-0.026,0.039,0.67,-0.002,0.016,-0.034,0.03,0.902
ES,0.017,0.029,-0.041,0.075,0.562,0.018,0.014,-0.011,0.046,0.22,0.007,0.012,-0.016,0.03,0.559,0,0.013,-0.027,0.027,0.995,-0.024,0.019,-0.062,0.014,0.214
