variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value,model
(Intercept),3.675,0.247,3.178,4.171,0,4.544,0.195,4.153,4.936,0,4.845,0.214,4.414,5.276,0,4.923,0.207,4.506,5.34,0,5.112,0.2,4.71,5.513,0,Tertiary
exp_imp,0.055,0.046,-0.037,0.146,0.238,0.008,0.024,-0.04,0.056,0.726,0.02,0.027,-0.034,0.074,0.467,0.025,0.023,-0.021,0.071,0.284,0.035,0.044,-0.054,0.124,0.431,Tertiary
I(exp_imp^2),-0.003,0.004,-0.01,0.005,0.504,0,0.002,-0.004,0.004,0.87,-0.001,0.002,-0.006,0.004,0.78,0,0.002,-0.004,0.004,0.942,-0.002,0.004,-0.009,0.005,0.609,Tertiary
areaUrban-Type Settlement,0.435,0.198,0.036,0.834,0.033,0.308,0.159,-0.012,0.628,0.059,0.305,0.145,0.014,0.597,0.04,0.189,0.14,-0.093,0.471,0.185,0.094,0.164,-0.235,0.424,0.567,Tertiary
areaCity,0.254,0.234,-0.216,0.724,0.283,0.121,0.182,-0.245,0.487,0.51,0.231,0.16,-0.091,0.552,0.155,0.191,0.154,-0.119,0.5,0.221,0.219,0.192,-0.166,0.604,0.258,Tertiary
areaRegional Center,0.431,0.535,-0.645,1.507,0.425,0.237,0.516,-0.8,1.273,0.648,0.243,0.517,-0.797,1.282,0.641,0.221,0.559,-0.902,1.344,0.694,0.214,0.615,-1.021,1.449,0.729,Tertiary
sexMale,0.57,0.092,0.385,0.755,0,0.387,0.053,0.28,0.494,0,0.295,0.034,0.226,0.364,0,0.25,0.039,0.173,0.328,0,0.237,0.054,0.129,0.344,0,Tertiary
marital_status2. Married/Civil partnership,-0.214,0.069,-0.352,-0.076,0.003,-0.11,0.052,-0.214,-0.006,0.039,-0.058,0.042,-0.143,0.026,0.171,0.004,0.047,-0.09,0.098,0.935,-0.015,0.052,-0.119,0.089,0.773,Tertiary
marital_status3. Divorced/Separated/Widowed,0.065,0.271,-0.479,0.61,0.81,0.006,0.178,-0.351,0.364,0.972,0.162,0.162,-0.163,0.487,0.322,0.248,0.228,-0.209,0.705,0.281,0.144,0.193,-0.244,0.532,0.461,Tertiary
regionКраснодар,0.162,0.564,-0.97,1.295,0.775,-0.21,0.544,-1.304,0.884,0.701,-0.111,0.502,-1.12,0.898,0.826,-0.036,0.628,-1.297,1.226,0.955,-0.006,0.614,-1.24,1.228,0.992,Tertiary
"regionУдмуртская Республика, Глазов и Глазовский",0.315,0.292,-0.271,0.902,0.285,-0.159,0.205,-0.572,0.254,0.443,-0.431,0.207,-0.848,-0.015,0.042,-0.222,0.274,-0.772,0.328,0.421,-0.15,0.281,-0.714,0.415,0.597,Tertiary
"regionПермский край, Соликамск и Соликамский райо",0.076,0.288,-0.503,0.654,0.794,-0.286,0.292,-0.874,0.301,0.332,-0.435,0.274,-0.987,0.116,0.119,-0.314,0.343,-1.002,0.374,0.364,-0.43,0.27,-0.971,0.112,0.117,Tertiary
"regionКалужская область, Куйбышевский район",0.668,0.286,0.093,1.243,0.024,0.007,0.285,-0.567,0.58,0.981,0.372,0.369,-0.369,1.113,0.318,0.298,0.304,-0.313,0.91,0.332,0.213,0.202,-0.193,0.62,0.296,Tertiary
"regionТамбовская область, Уварово и Уваровский ра",-0.098,0.266,-0.632,0.437,0.715,-0.394,0.273,-0.943,0.154,0.155,-0.587,0.199,-0.988,-0.186,0.005,-0.509,0.32,-1.152,0.134,0.118,-0.501,0.281,-1.066,0.064,0.081,Tertiary
"regionВолгоградская область, Руднянский район",-0.148,0.261,-0.673,0.377,0.573,-0.692,0.284,-1.263,-0.12,0.019,-0.618,0.217,-1.054,-0.183,0.006,-0.203,0.269,-0.743,0.337,0.454,-0.283,0.279,-0.843,0.276,0.314,Tertiary
regionКазань,-0.213,0.534,-1.286,0.859,0.691,-0.324,0.539,-1.407,0.759,0.551,-0.347,0.509,-1.371,0.677,0.499,-0.206,0.628,-1.468,1.057,0.745,-0.224,0.614,-1.457,1.01,0.717,Tertiary
regionКурган,0.17,0.542,-0.92,1.259,0.756,-0.118,0.571,-1.265,1.028,0.837,-0.249,0.535,-1.324,0.827,0.644,-0.065,0.604,-1.278,1.149,0.915,-0.16,0.624,-1.414,1.093,0.798,Tertiary
"regionОренбургская область, Орск",0.292,0.29,-0.292,0.875,0.32,-0.138,0.196,-0.532,0.256,0.484,-0.423,0.212,-0.85,0.003,0.052,-0.303,0.413,-1.134,0.527,0.466,-0.223,0.287,-0.801,0.354,0.441,Tertiary
"regionРеспублика Чувашия, Шумерля и Шумерлинский",-0.106,0.304,-0.718,0.505,0.728,-0.434,0.256,-0.947,0.08,0.096,-0.436,0.267,-0.973,0.101,0.11,-0.258,0.309,-0.88,0.363,0.408,-0.084,0.302,-0.692,0.523,0.781,Tertiary
"regionСтавропольский край, Георгиевск и Георгиев",0.104,0.247,-0.392,0.6,0.675,-0.191,0.258,-0.71,0.328,0.463,-0.328,0.194,-0.719,0.062,0.097,-0.197,0.248,-0.695,0.301,0.431,-0.331,0.167,-0.667,0.004,0.053,Tertiary
"regionАлтайский край, Курьинский район",0.505,0.309,-0.116,1.127,0.109,-0.192,0.192,-0.578,0.193,0.32,-0.262,0.239,-0.742,0.219,0.28,-0.069,0.36,-0.793,0.655,0.849,0.329,0.277,-0.228,0.886,0.241,Tertiary
regionКрасноярск,0.142,0.506,-0.875,1.159,0.78,-0.065,0.546,-1.163,1.033,0.906,-0.145,0.515,-1.181,0.891,0.78,-0.016,0.595,-1.212,1.18,0.978,-0.156,0.6,-1.362,1.05,0.796,Tertiary
"regionТверская область, Ржев и Ржевский район",0.097,0.336,-0.577,0.772,0.773,-0.417,0.269,-0.957,0.123,0.127,-0.576,0.296,-1.171,0.018,0.057,-0.259,0.331,-0.926,0.407,0.437,-0.345,0.23,-0.807,0.117,0.14,Tertiary
regionСаратов,-0.512,0.556,-1.629,0.604,0.361,-0.612,0.534,-1.685,0.46,0.257,-0.446,0.494,-1.439,0.548,0.372,-0.29,0.596,-1.488,0.908,0.629,-0.108,0.626,-1.365,1.15,0.864,Tertiary
regionТомск,0.251,0.516,-0.786,1.289,0.629,-0.21,0.529,-1.272,0.853,0.694,-0.144,0.538,-1.225,0.936,0.79,0.059,0.582,-1.111,1.228,0.92,0.106,0.641,-1.183,1.394,0.87,Tertiary
regionЛипецк,-0.178,0.551,-1.285,0.928,0.748,-0.367,0.533,-1.438,0.705,0.495,-0.514,0.502,-1.523,0.494,0.311,-0.512,0.62,-1.757,0.733,0.413,-0.527,0.595,-1.722,0.668,0.38,Tertiary
