"","variable","q50_estimate","q50_std.error","q50_ci.low","q50_ci.upp","q50_p.value","q75_estimate","q75_std.error","q75_ci.low","q75_ci.upp","q75_p.value","q90_estimate","q90_std.error","q90_ci.low","q90_ci.upp","q90_p.value"
"1","(Intercept)",4.646,0.073,4.5,4.792,0,4.817,0.08,4.656,4.978,0,4.929,0.082,4.765,5.093,0
"2","exp_imp",0.071,0.012,0.047,0.095,0,0.075,0.018,0.038,0.112,0,0.041,0.015,0.012,0.071,0.007
"3","I(exp_imp^2)",-0.004,0.001,-0.006,-0.002,0,-0.004,0.001,-0.007,-0.001,0.006,-0.001,0.001,-0.004,0.001,0.305
"4","areaUrban-Type Settlement",-0.02,0.055,-0.132,0.091,0.714,0.071,0.066,-0.061,0.204,0.286,-0.135,0.075,-0.287,0.017,0.08
"5","areaCity",0.153,0.055,0.043,0.263,0.008,0.234,0.045,0.144,0.324,0,0.243,0.062,0.118,0.368,0
"6","areaRegional Center",0.198,0.213,-0.231,0.627,0.359,0.245,0.206,-0.168,0.658,0.24,0.208,0.211,-0.217,0.632,0.33
"7","sexMale",0.236,0.033,0.169,0.303,0,0.29,0.035,0.22,0.36,0,0.292,0.046,0.2,0.384,0
"8","marital_status2. Married/Civil partnership",-0.007,0.023,-0.054,0.04,0.754,0.01,0.02,-0.03,0.05,0.613,0.045,0.03,-0.016,0.105,0.147
"9","marital_status3. Divorced/Separated/Widowed",-0.001,0.058,-0.117,0.115,0.983,0.004,0.074,-0.146,0.154,0.957,0.097,0.078,-0.059,0.253,0.22
"10","O",0.06,0.026,0.007,0.113,0.027,0.053,0.026,0.001,0.106,0.047,0.081,0.029,0.022,0.14,0.008
"11","C",-0.017,0.022,-0.061,0.026,0.425,-0.026,0.023,-0.072,0.019,0.254,-0.009,0.026,-0.061,0.042,0.714
"12","E",0.022,0.023,-0.025,0.068,0.354,0.056,0.026,0.004,0.109,0.034,0.048,0.025,-0.003,0.099,0.063
"13","A",0.025,0.022,-0.019,0.068,0.259,0.013,0.018,-0.024,0.05,0.483,0.012,0.023,-0.034,0.058,0.597
"14","ES",0.01,0.018,-0.026,0.046,0.569,-0.003,0.021,-0.045,0.038,0.868,-0.016,0.024,-0.065,0.032,0.497
"15","sexMale:O",-0.004,0.028,-0.061,0.052,0.877,0.004,0.026,-0.048,0.055,0.884,-0.045,0.031,-0.108,0.019,0.162
"16","sexMale:C",0.033,0.028,-0.023,0.089,0.239,0.021,0.027,-0.033,0.075,0.436,0.029,0.035,-0.042,0.1,0.415
"17","sexMale:E",-0.011,0.029,-0.069,0.047,0.7,-0.042,0.035,-0.113,0.029,0.237,-0.013,0.032,-0.078,0.052,0.7
"18","sexMale:A",-0.011,0.025,-0.062,0.039,0.658,-0.006,0.028,-0.062,0.049,0.82,0.02,0.03,-0.04,0.08,0.509
"19","sexMale:ES",0.002,0.024,-0.045,0.05,0.929,-0.001,0.028,-0.056,0.055,0.982,0.012,0.031,-0.05,0.074,0.696
