variable,Value,Std. Error,lower bound,upper bound,Pr(>|t|),age_group
(Intercept),4.716,0.045,4.626,4.807,0,16-65
exp_imp,0.024,0.002,0.02,0.027,0,16-65
I(exp_imp^2),-0.001,0,-0.001,-0,0,16-65
areaUrban-Type Settlement,0.051,0.031,-0.012,0.113,0.11,16-65
areaCity,0.118,0.021,0.076,0.161,0,16-65
areaRegional Center,0.344,0.137,0.07,0.619,0.015,16-65
sexMale,0.235,0.013,0.209,0.26,0,16-65
marital_status2. Married/Civil partnership,-0.058,0.018,-0.093,-0.022,0.002,16-65
marital_status3. Divorced/Separated/Widowed,-0.089,0.022,-0.134,-0.044,0,16-65
O,0.092,0.007,0.078,0.106,0,16-65
C,0.015,0.007,0.001,0.029,0.043,16-65
E,0.015,0.007,0.002,0.029,0.028,16-65
A,0.003,0.005,-0.007,0.013,0.546,16-65
ES,0.033,0.008,0.018,0.049,0,16-65
(Intercept),4.557,0.101,4.354,4.761,0,30-40
exp_imp,0.046,0.011,0.024,0.068,0,30-40
I(exp_imp^2),-0.001,0,-0.002,-0.001,0.003,30-40
areaUrban-Type Settlement,0.104,0.056,-0.01,0.217,0.072,30-40
areaCity,0.101,0.04,0.021,0.181,0.014,30-40
areaRegional Center,0.589,0.383,-0.181,1.36,0.131,30-40
sexMale,0.263,0.02,0.223,0.303,0,30-40
marital_status2. Married/Civil partnership,-0.067,0.033,-0.134,0,0.05,30-40
marital_status3. Divorced/Separated/Widowed,-0.096,0.04,-0.176,-0.016,0.02,30-40
O,0.092,0.014,0.065,0.119,0,30-40
C,0.006,0.01,-0.014,0.027,0.543,30-40
E,0.026,0.008,0.009,0.042,0.003,30-40
A,-0.003,0.01,-0.023,0.017,0.792,30-40
ES,0.04,0.01,0.019,0.061,0,30-40
(Intercept),4.731,0.122,4.485,4.977,0,40-50
exp_imp,0.018,0.009,0,0.035,0.044,40-50
I(exp_imp^2),-0,0,-0.001,0,0.146,40-50
areaUrban-Type Settlement,0.015,0.062,-0.109,0.139,0.809,40-50
areaCity,0.082,0.041,-0.001,0.165,0.053,40-50
areaRegional Center,0.039,0.143,-0.249,0.327,0.785,40-50
sexMale,0.227,0.024,0.179,0.276,0,40-50
marital_status2. Married/Civil partnership,-0.008,0.043,-0.094,0.079,0.858,40-50
marital_status3. Divorced/Separated/Widowed,0.001,0.039,-0.077,0.079,0.975,40-50
O,0.085,0.012,0.061,0.109,0,40-50
C,0.012,0.014,-0.016,0.041,0.397,40-50
E,0.012,0.014,-0.016,0.04,0.384,40-50
A,0.012,0.014,-0.015,0.04,0.374,40-50
ES,0.029,0.015,-0.002,0.059,0.066,40-50
(Intercept),4.215,0.132,3.951,4.48,0,50-65
exp_imp,0.045,0.006,0.032,0.058,0,50-65
I(exp_imp^2),-0.001,0,-0.001,-0.001,0,50-65
areaUrban-Type Settlement,0.129,0.041,0.047,0.21,0.003,50-65
areaCity,0.108,0.045,0.018,0.198,0.02,50-65
areaRegional Center,0.09,0.279,-0.47,0.65,0.747,50-65
sexMale,0.152,0.032,0.089,0.215,0,50-65
marital_status2. Married/Civil partnership,-0.011,0.058,-0.128,0.107,0.856,50-65
marital_status3. Divorced/Separated/Widowed,-0.109,0.062,-0.235,0.016,0.085,50-65
O,0.1,0.014,0.071,0.129,0,50-65
C,0.036,0.017,0.001,0.071,0.045,50-65
E,0.002,0.015,-0.027,0.032,0.877,50-65
A,0.018,0.017,-0.016,0.052,0.285,50-65
ES,0.028,0.017,-0.006,0.063,0.104,50-65
