variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value
(Intercept),4.125,0.119,3.886,4.364,0,4.336,0.101,4.134,4.538,0,4.592,0.095,4.402,4.782,0,4.783,0.09,4.602,4.964,0,4.704,0.107,4.489,4.92,0
edu_lvl2. Secondary School,0.033,0.066,-0.1,0.166,0.618,0.074,0.043,-0.013,0.161,0.094,0.063,0.041,-0.019,0.145,0.131,0.072,0.042,-0.012,0.156,0.092,0.1,0.054,-0.007,0.208,0.067
edu_lvl3. Secondary Vocational,0.109,0.062,-0.015,0.233,0.083,0.155,0.048,0.058,0.252,0.002,0.175,0.043,0.088,0.262,0,0.137,0.047,0.042,0.232,0.005,0.166,0.056,0.054,0.279,0.004
edu_lvl4. Tertiary,0.242,0.054,0.133,0.352,0,0.299,0.049,0.2,0.397,0,0.325,0.04,0.244,0.406,0,0.317,0.047,0.222,0.412,0,0.33,0.047,0.235,0.426,0
exp_imp,0.069,0.019,0.032,0.107,0.001,0.033,0.015,0.003,0.063,0.034,0.059,0.009,0.042,0.077,0,0.057,0.012,0.033,0.08,0,0.137,0.023,0.09,0.184,0
I(exp_imp^2),-0.004,0.002,-0.007,-0.001,0.022,-0.001,0.001,-0.004,0.001,0.39,-0.003,0.001,-0.005,-0.002,0,-0.003,0.001,-0.005,-0.001,0.001,-0.01,0.002,-0.013,-0.006,0
sexMale,0.382,0.046,0.289,0.474,0,0.308,0.029,0.25,0.366,0,0.291,0.024,0.242,0.34,0,0.308,0.024,0.261,0.356,0,0.319,0.042,0.235,0.403,0
areaUrban-Type Settlement,-0.076,0.088,-0.253,0.101,0.391,-0.017,0.062,-0.142,0.109,0.79,-0.05,0.063,-0.175,0.076,0.431,-0.082,0.071,-0.224,0.06,0.25,-0.017,0.095,-0.207,0.174,0.862
areaCity,0.059,0.082,-0.106,0.224,0.478,0.089,0.066,-0.044,0.221,0.186,0.109,0.055,-0.002,0.219,0.053,0.172,0.065,0.041,0.304,0.011,0.179,0.077,0.024,0.333,0.024
areaRegional Center,0.024,0.219,-0.417,0.464,0.914,0.164,0.249,-0.336,0.663,0.513,0.139,0.215,-0.292,0.57,0.52,0.165,0.214,-0.266,0.595,0.446,0.17,0.2,-0.232,0.572,0.4
marital_status2. Married/Civil partnership,-0.127,0.047,-0.222,-0.032,0.01,-0.011,0.023,-0.057,0.035,0.635,0.018,0.027,-0.036,0.071,0.511,0.027,0.028,-0.029,0.083,0.335,0.003,0.044,-0.086,0.092,0.943
marital_status3. Divorced/Separated/Widowed,-0.026,0.124,-0.275,0.224,0.836,0.027,0.061,-0.096,0.15,0.665,0.051,0.069,-0.088,0.19,0.466,0,0.085,-0.17,0.17,0.998,0.045,0.081,-0.118,0.209,0.578
O,0.027,0.029,-0.032,0.086,0.36,0.037,0.015,0.007,0.067,0.017,0.04,0.014,0.011,0.069,0.008,0.049,0.015,0.019,0.078,0.002,0.054,0.023,0.008,0.1,0.024
C,0.023,0.024,-0.025,0.072,0.337,0.014,0.015,-0.017,0.045,0.372,-0.001,0.011,-0.023,0.022,0.957,-0.017,0.014,-0.045,0.012,0.257,-0.024,0.015,-0.055,0.007,0.121
E,-0.003,0.023,-0.048,0.043,0.901,0.01,0.015,-0.02,0.041,0.508,0.02,0.011,-0.002,0.042,0.068,0.037,0.013,0.01,0.063,0.007,0.016,0.02,-0.025,0.056,0.44
A,0.013,0.022,-0.031,0.057,0.563,0.009,0.015,-0.02,0.038,0.546,0.009,0.013,-0.018,0.035,0.51,0.008,0.015,-0.021,0.038,0.569,0.021,0.016,-0.01,0.052,0.184
ES,0.041,0.023,-0.006,0.087,0.086,0.025,0.016,-0.007,0.056,0.127,-0,0.011,-0.021,0.021,0.99,0.001,0.014,-0.027,0.03,0.923,-0.017,0.015,-0.046,0.013,0.259
