variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value,model
(Intercept),3.866,0.236,3.393,4.34,0,4.695,0.239,4.215,5.175,0,4.836,0.207,4.42,5.252,0,4.701,0.185,4.33,5.072,0,4.94,0.232,4.473,5.407,0,Tertiary
exp_imp,0.03,0.061,-0.092,0.152,0.625,-0.027,0.032,-0.091,0.038,0.409,0.026,0.028,-0.029,0.082,0.345,0.086,0.023,0.039,0.133,0.001,0.096,0.04,0.017,0.176,0.019,Tertiary
I(exp_imp^2),-0.001,0.005,-0.011,0.009,0.82,0.003,0.002,-0.002,0.008,0.246,-0.001,0.002,-0.006,0.004,0.643,-0.005,0.002,-0.009,-0.001,0.017,-0.006,0.003,-0.012,0.001,0.106,Tertiary
areaUrban-Type Settlement,0.347,0.217,-0.089,0.783,0.116,0.268,0.165,-0.064,0.601,0.111,0.222,0.156,-0.091,0.536,0.161,0.303,0.137,0.027,0.579,0.032,0.305,0.16,-0.017,0.627,0.063,Tertiary
areaCity,0.161,0.171,-0.183,0.505,0.352,0.108,0.161,-0.215,0.43,0.505,0.208,0.197,-0.188,0.603,0.296,0.372,0.152,0.068,0.677,0.018,0.302,0.141,0.017,0.586,0.038,Tertiary
areaRegional Center,0.426,0.573,-0.726,1.578,0.461,0.159,0.473,-0.791,1.109,0.738,0.213,0.645,-1.083,1.51,0.742,0.356,0.462,-0.572,1.284,0.444,0.25,0.571,-0.898,1.397,0.664,Tertiary
sexMale,0.511,0.097,0.316,0.706,0,0.367,0.051,0.264,0.47,0,0.291,0.041,0.209,0.373,0,0.267,0.036,0.195,0.339,0,0.226,0.041,0.145,0.308,0,Tertiary
marital_status2. Married/Civil partnership,-0.268,0.083,-0.435,-0.101,0.002,-0.126,0.067,-0.26,0.009,0.066,-0.055,0.053,-0.161,0.051,0.299,-0.044,0.041,-0.126,0.038,0.285,-0.036,0.059,-0.154,0.082,0.544,Tertiary
marital_status3. Divorced/Separated/Widowed,-0.091,0.279,-0.652,0.47,0.746,0.025,0.17,-0.317,0.366,0.885,0.168,0.189,-0.21,0.547,0.376,0.154,0.179,-0.206,0.515,0.394,0.011,0.176,-0.343,0.364,0.951,Tertiary
regionКраснодар,0.015,0.629,-1.249,1.28,0.981,-0.135,0.556,-1.253,0.983,0.809,-0.09,0.704,-1.505,1.325,0.899,-0.11,0.508,-1.13,0.911,0.829,-0.199,0.583,-1.371,0.973,0.735,Tertiary
"regionУдмуртская Республика, Глазов и Глазовский",0.336,0.232,-0.131,0.802,0.155,-0.192,0.313,-0.821,0.436,0.541,-0.415,0.286,-0.989,0.159,0.153,-0.312,0.219,-0.751,0.128,0.16,-0.331,0.282,-0.897,0.235,0.246,Tertiary
"regionПермский край, Соликамск и Соликамский райо",0.113,0.295,-0.481,0.706,0.704,-0.275,0.338,-0.955,0.405,0.42,-0.431,0.306,-1.047,0.184,0.165,-0.494,0.248,-0.993,0.005,0.052,-0.258,0.298,-0.858,0.342,0.391,Tertiary
"regionКалужская область, Куйбышевский район",0.589,0.33,-0.074,1.251,0.08,-0.032,0.42,-0.876,0.812,0.939,0.363,0.356,-0.353,1.079,0.313,0.444,0.282,-0.122,1.009,0.122,0.276,0.239,-0.205,0.757,0.254,Tertiary
"regionТамбовская область, Уварово и Уваровский ра",0.073,0.329,-0.587,0.734,0.824,-0.419,0.317,-1.055,0.217,0.192,-0.567,0.273,-1.116,-0.017,0.043,-0.574,0.304,-1.185,0.037,0.065,-0.453,0.283,-1.021,0.115,0.116,Tertiary
"regionВолгоградская область, Руднянский район",-0.133,0.285,-0.705,0.44,0.644,-0.75,0.261,-1.274,-0.226,0.006,-0.552,0.287,-1.128,0.025,0.06,-0.245,0.26,-0.768,0.279,0.352,-0.255,0.27,-0.798,0.288,0.35,Tertiary
regionКазань,-0.15,0.595,-1.346,1.045,0.801,-0.279,0.533,-1.35,0.792,0.603,-0.324,0.709,-1.748,1.101,0.65,-0.197,0.499,-1.199,0.806,0.695,-0.288,0.575,-1.443,0.866,0.618,Tertiary
regionКурган,0.081,0.657,-1.239,1.402,0.902,-0.099,0.635,-1.375,1.177,0.877,-0.23,0.716,-1.669,1.21,0.75,-0.069,0.589,-1.253,1.115,0.907,-0.203,0.593,-1.395,0.989,0.733,Tertiary
"regionОренбургская область, Орск",0.244,0.233,-0.225,0.712,0.301,-0.164,0.286,-0.74,0.411,0.569,-0.422,0.294,-1.014,0.169,0.158,-0.376,0.279,-0.937,0.186,0.185,-0.344,0.299,-0.944,0.256,0.255,Tertiary
"regionРеспублика Чувашия, Шумерля и Шумерлинский",0.007,0.309,-0.614,0.628,0.983,-0.425,0.319,-1.066,0.217,0.189,-0.479,0.366,-1.214,0.256,0.197,-0.277,0.285,-0.85,0.295,0.335,-0.202,0.391,-0.988,0.584,0.608,Tertiary
"regionСтавропольский край, Георгиевск и Георгиев",0.053,0.314,-0.579,0.684,0.868,-0.272,0.304,-0.883,0.339,0.375,-0.314,0.278,-0.874,0.245,0.264,-0.291,0.22,-0.734,0.151,0.192,-0.372,0.215,-0.804,0.061,0.091,Tertiary
"regionАлтайский край, Курьинский район",0.322,0.225,-0.131,0.775,0.16,-0.156,0.223,-0.605,0.293,0.489,-0.265,0.255,-0.778,0.249,0.305,0.048,0.396,-0.747,0.844,0.903,0.087,0.339,-0.595,0.769,0.799,Tertiary
