variable,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value
(Intercept),4.685,0.064,4.557,4.814,0,4.869,0.074,4.72,5.017,0,5.078,0.12,4.837,5.32,0
exp_imp,0.064,0.011,0.043,0.085,0,0.07,0.014,0.042,0.098,0,0.043,0.025,-0.009,0.094,0.1
I(exp_imp^2),-0.003,0.001,-0.005,-0.001,0.001,-0.004,0.001,-0.006,-0.002,0.001,-0.002,0.002,-0.006,0.002,0.396
areaUrban-Type Settlement,-0.048,0.058,-0.164,0.067,0.405,-0.043,0.074,-0.192,0.106,0.568,-0.012,0.08,-0.173,0.148,0.878
areaCity,0.181,0.065,0.05,0.311,0.008,0.194,0.062,0.069,0.319,0.003,0.182,0.062,0.059,0.306,0.005
areaRegional Center,0.223,0.244,-0.266,0.713,0.364,0.194,0.216,-0.24,0.628,0.373,0.268,0.236,-0.205,0.741,0.261
sexMale,0.256,0.024,0.206,0.305,0,0.265,0.03,0.205,0.325,0,0.26,0.033,0.194,0.327,0
marital_status2. Married/Civil partnership,0.019,0.025,-0.032,0.07,0.461,0.009,0.03,-0.05,0.068,0.763,0.011,0.033,-0.055,0.078,0.737
marital_status3. Divorced/Separated/Widowed,-0.008,0.058,-0.125,0.109,0.887,0.037,0.081,-0.126,0.201,0.647,0.079,0.078,-0.078,0.236,0.316
O,0.05,0.03,-0.01,0.11,0.098,0.079,0.028,0.023,0.134,0.006,0.059,0.03,-0.001,0.12,0.052
C,-0.003,0.026,-0.055,0.049,0.914,-0.03,0.02,-0.07,0.01,0.139,0.006,0.028,-0.051,0.063,0.832
E,0.029,0.022,-0.016,0.074,0.209,0.041,0.022,-0.003,0.085,0.065,0.049,0.023,0.002,0.096,0.043
A,0.016,0.021,-0.026,0.058,0.457,0.017,0.02,-0.024,0.057,0.409,0.007,0.029,-0.051,0.065,0.807
ES,0.007,0.019,-0.032,0.047,0.703,-0.011,0.018,-0.047,0.024,0.522,-0.015,0.025,-0.064,0.034,0.54
sexMale:O,0.006,0.036,-0.067,0.079,0.868,-0.017,0.032,-0.081,0.047,0.592,0.014,0.036,-0.059,0.087,0.7
sexMale:C,0.01,0.029,-0.048,0.068,0.72,0.016,0.028,-0.04,0.071,0.574,0.008,0.035,-0.063,0.079,0.818
sexMale:E,-0.021,0.027,-0.075,0.032,0.433,-0.031,0.025,-0.081,0.019,0.224,-0.033,0.032,-0.097,0.032,0.317
sexMale:A,-0.001,0.028,-0.058,0.056,0.97,-0.01,0.026,-0.061,0.042,0.698,0.008,0.037,-0.067,0.083,0.838
sexMale:ES,0.006,0.024,-0.042,0.054,0.803,-0.001,0.029,-0.059,0.057,0.972,-0.011,0.041,-0.093,0.07,0.779
