variable,Value,Std. Error,lower bound,upper bound,Pr(>|t|),age_group
(Intercept),4.724,0.058,4.607,4.84,0,16-65
exp_imp,0.024,0.002,0.02,0.027,0,16-65
I(exp_imp^2),-0.001,0,-0.001,-0,0,16-65
areaUrban-Type Settlement,0.048,0.034,-0.02,0.116,0.16,16-65
areaCity,0.119,0.025,0.069,0.168,0,16-65
areaRegional Center,0.348,0.156,0.034,0.662,0.031,16-65
sexMale,0.234,0.012,0.21,0.257,0,16-65
marital_status2. Married/Civil partnership,-0.059,0.019,-0.097,-0.02,0.004,16-65
marital_status3. Divorced/Separated/Widowed,-0.088,0.026,-0.142,-0.035,0.002,16-65
O,0.092,0.006,0.079,0.105,0,16-65
C,0.015,0.007,-0,0.029,0.051,16-65
E,0.015,0.007,0,0.029,0.048,16-65
A,0.004,0.008,-0.012,0.02,0.589,16-65
ES,0.034,0.008,0.019,0.049,0,16-65
(Intercept),4.565,0.086,4.393,4.737,0,30-40
exp_imp,0.048,0.01,0.027,0.069,0,30-40
I(exp_imp^2),-0.001,0,-0.002,-0.001,0.001,30-40
areaUrban-Type Settlement,0.077,0.045,-0.014,0.168,0.093,30-40
areaCity,0.114,0.037,0.04,0.188,0.003,30-40
areaRegional Center,0.595,0.325,-0.059,1.248,0.073,30-40
sexMale,0.29,0.02,0.25,0.33,0,30-40
marital_status2. Married/Civil partnership,-0.042,0.029,-0.101,0.017,0.16,30-40
marital_status3. Divorced/Separated/Widowed,-0.068,0.036,-0.14,0.004,0.064,30-40
O,0.091,0.009,0.073,0.109,0,30-40
C,0.01,0.01,-0.01,0.03,0.325,30-40
E,0.025,0.011,0.003,0.047,0.029,30-40
A,-0.005,0.01,-0.024,0.014,0.621,30-40
ES,0.03,0.009,0.012,0.049,0.002,30-40
(Intercept),4.742,0.131,4.479,5.005,0,40-50
exp_imp,0.018,0.01,-0.003,0.039,0.098,40-50
I(exp_imp^2),-0,0,-0.001,0,0.222,40-50
areaUrban-Type Settlement,-0.005,0.066,-0.138,0.128,0.942,40-50
areaCity,0.099,0.04,0.018,0.18,0.018,40-50
areaRegional Center,0.035,0.16,-0.287,0.357,0.827,40-50
sexMale,0.23,0.023,0.184,0.275,0,40-50
marital_status2. Married/Civil partnership,-0.02,0.045,-0.11,0.071,0.667,40-50
marital_status3. Divorced/Separated/Widowed,-0.016,0.053,-0.122,0.09,0.762,40-50
O,0.087,0.014,0.058,0.115,0,40-50
C,0.015,0.015,-0.014,0.044,0.297,40-50
E,0.009,0.014,-0.018,0.037,0.494,40-50
A,0.008,0.015,-0.021,0.037,0.578,40-50
ES,0.03,0.013,0.004,0.057,0.025,40-50
(Intercept),4.214,0.131,3.951,4.476,0,50-65
exp_imp,0.045,0.008,0.029,0.062,0,50-65
I(exp_imp^2),-0.001,0,-0.001,-0.001,0,50-65
areaUrban-Type Settlement,0.131,0.053,0.024,0.238,0.018,50-65
areaCity,0.115,0.057,-0,0.23,0.05,50-65
areaRegional Center,0.089,0.244,-0.402,0.579,0.718,50-65
sexMale,0.156,0.032,0.092,0.219,0,50-65
marital_status2. Married/Civil partnership,-0.023,0.066,-0.156,0.111,0.734,50-65
marital_status3. Divorced/Separated/Widowed,-0.122,0.06,-0.243,-0.001,0.048,50-65
O,0.099,0.017,0.064,0.134,0,50-65
C,0.039,0.02,-0,0.079,0.051,50-65
E,0.003,0.016,-0.029,0.035,0.874,50-65
A,0.003,0.019,-0.034,0.041,0.861,50-65
ES,0.03,0.016,-0.003,0.064,0.07,50-65
